Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Back to the table of content,,,,,,,,,,,,,
,Table 1.1: Summary of responses by country and technology,,,,,,,,,,,,,
,Country,Natural gas,Coal,Nuclear,LTO,Solar PV,Solar thermal,Onshore wind,Offshore wind,Hydro,CHP,Storage,Other,TOTAL
,Australia,3,4,,,1,1,1,1,,,1,,12
,Austria,,,,,1,,1,,1,,,,3
,Belgium,6,,,,4,,4,2,,,,,16
,Canada ,3,,,,2,,1,,,,1,,7
,Denmark,,,,,4,,1,2,,7,2,,16
,Finland,,,,,,,1,,,,1,,2
,France,,,1,1,3,,1,1,,,,3,10
,Germany,,,,,,,,,1,,,,1
,Hungary,,,,,4,,,,,,,,4
,Italy,2,,,,7,,14,,15,1,1,6,46
,Japan,1,1,1,,2,,1,1,1,,,,8
,Korea,2,1,1,,2,,1,1,,,,,8
,Mexico,3,,,,,,,,,,,,3
,Netherlands,,,,,3,,1,,,,,,4
,Norway,,,,,1,,1,,2,,,1,5
,Romania,1,,,,,,,,,2,,,3
,Russian Federation,,,1,,,,2,,,,,,3
,Slovak Republic,,,1,,,,,,,2,,,3
,Sweden,,,,1,,,1,,,,,,2
,Switzerland,,,,1,,,,,,,,,1
,United States,2,8,1,1,15,3,10,14,8,,,2,64
,Non-OECD members,,,,,,,,,,,,,
,Brazil,2,1,,,1,,1,,1,,,1,7
,China,1,1,1,,1,,1,1,,,,,6
,India,,2,1,,1,,1,,1,,2,1,9
,TOTAL,26,18,8,4,52,4,44,23,30,12,8,14,243
,* Data for China and India was drawn from various publicly available sources. Romania and Russia are members of the OECD Nuclear Energy Agency only. ,,,,,,,,,,,,,
