Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Back to the table of content,,,,,,,,,
,Table 3.1: Summary statistics for different generating technologies,,,,,,,,,
,Technology,Number of plants / countries,Net capacity (MWe),,,,Overnight costs (USD/kWe),,,
,,,Min,Mean,Median,Max,Min,Mean,Median,Max
,ACAES,1 / 1,250,250,250,250,1695,1695,1695,1695
,Lithium-ion battery,4 / 4,1,7.48,2,19.44,452.1428571428571,932.4005151435067,655.0809893290094,1967.2972247731511
,Biomass,4 / 3,0.415,18.4775,25,30,833.3596499538581,2501.1420682404473,1094.7431800920954,6545.460789738866
,Biomass (CHP),5 / 2,0.415,130.0575,130.05749999999998,357.6,2537.8134199573647,4689.184396706101,4689.184396706101,6545.460789738866
,Coal,11 / 6,137.7,693.1160000000001,722,954,800,1896.5721903762023,1784.7653200188556,4382
,Coal (CCUS),4 / 2,499.12,641.3,641.3,649.67,4489.648927236158,4571.824463618079,4571.824463618079,5991
,Coal (CHP),1 / 1,700,700,700,700,2240.386110678899,2240.386110678899,2240.386110678899,2240.386110678899
,Fuel cell,4 / 2,0.00265,0.2025,0.2025,15.2,2360.756669727781,4715.470890956222,4715.470890956222,6492.080841751398
,Gas (CCGT),16 / 11,471,761.7048,743.25,1372,253.7029853483989,822.6921521436899,954.8629271106356,1108.906487756857
,"Gas (CCGT, CCUS)",2 / 2,437,541.3689999999999,541.3689999999999,645.7379999999999,2412,2619.241961369145,2619.241961369145,2826.48392273829
,"Gas (CCGT, CHP)",2 / 2,5.8,252.9,252.9,500,1023.978205494425,1092.1450543328147,1092.1450543328147,1160.3119031712044
,Gas (OCGT/int. comb.),8 / 5,100,463.7,500,980,324.6040420875699,630.1893764308991,667.9557565234024,1140.6477304737393
,"Gas (OCGT/int. comb., CHP)",3 / 3,35.9,118.63333333333333,125,195,329.81388095291857,707.0840468257314,684.0292450536245,1107.4090144706513
,Geothermal,6 / 2,5,18.75,18.75,39.6,3850.8898872266523,6647.283045831946,6647.283045831946,10959.124341263534
,"Hydro (reservoir, >= 5 MW)",4 / 4,11.952,57.988,22.5,175,1899.4159237626804,3318.821440398474,2778.3543084692355,5819.161220892744
,"Hydro (reservoir, < 5 MW)",1 / 1,0.315,0.315,0.315,0.315,3966.1774391928107,3966.1774391928107,3966.1774391928107,3966.1774391928107
,"Hydro (run of river, >= 5 MW)",7 / 4,5,85.1125,43.975,247.5,2326.3292576957024,3557.153852053463,3025.8297415080933,6681.424001060964
,"Hydro (run of river, < 5 MW)",18 / 4,0.015,2.5416666666666665,3,4.8,955.9927646911209,3507.4291806718343,2800.9471125961077,7484.303890731104
,Lignite,2 / 2,709,804.5,804.5,900,2189.4863601841907,2972.7149854853524,2972.7149854853524,3755.9436107865145
,Lignite (CCUS),1 / 1,570,570,570,570,6891.002172724095,6891.002172724095,6891.002172724095,6891.002172724095
,Lignite (CHP),1 / 1,2900,2900,2900,2900,1014.8119413935956,1014.8119413935956,1014.8119413935956,1014.8119413935956
,Nuclear,8 / 8,950,1234.2266666666667,1137.18,1650,2157.0626705101736,3606.488779858991,3370.3410444422916,6920.033074421574
,Nuclear (LTO),4 / 4,1000,1000,1000,1000,391,503.5,497,629
,Pumped storage,3 / 3,175,458.3333333333333,200,1000,562.8832723372551,1961.962312053983,896.5849080851038,4426.41875573959
,Solar PV (floating),1 / 1,8,8,8,8,860.1269378861313,860.1269378861313,860.1269378861313,860.1269378861313
,Solar PV (utility scale),21 / 14,0.8333333333333334,26.271666666666672,20,100,534.4308380557667,995.1920328128223,922.8521810146915,2006.1222811420357
,Solar PV (commercial),15 / 8,0.05,0.24779166666666666,0.2416666666666667,0.5,845.8886242218356,1064.910573667807,1084.7222264654806,1356.6700619539317
,Solar PV (residential),15 / 8,0.004,0.00796875,0.0055000000000000005,0.02,718.8504059321093,1583.1785706515027,1653.4029651798946,2596.5669686902143
,Solar thermal (CSP),4 / 2,100,125,125,150,5238.2973254872195,5856.548662743609,5856.548662743609,6474.8
,Offshore wind,23 / 8,11.25,186.421875,99.5,600,1720.6965955208357,2875.603838923014,2739.8415329550144,4039.007063906392
,Onshore wind (>= 1 MW),33 / 18,1,58.32388888888889,40,280,877.220684161956,1391.3133541360305,1439.1662831416133,3021.76853725156
,Onshore wind (< 1 MW),11 / 1,0.014,0.19,0.19,0.9,1782.3712856444747,2852.145203805325,2852.145203805325,5538.776156958986
,Note: CHP = combined heat and power. CCUS = carbon capture. utilisation and storage. CCGT = Combined cycle gas turbine. OCGT = Open cycle gas turbine. LTO = long-term operation. CSP = concentrated solar power. ACAES = Adiabatic compressed air energy storage. ,,,,,,,,,
