Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Back to the table of content,,,,,,,,,,,,,,,,,
,Table 3.17:  Levelised cost of electricity for combined heat and power (CHP) plants,,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity 
factor (%)",Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel 
(USD/MWh)",Carbon (USD/MWh),O&M (USD/MWh),Heat credit (USD/MWh),LCOE (USD/MWh),,,Country
,,,,,0.03,0.07,0.1,0.03,0.07,0.1,,,,,0.03,0.07,0.1,
,Denmark,Biomass,176.9,0.46,45.4,83.54,119.04,0.64,0.23,0.1,111.18,0,33.29,-102.95,87.55,125.28,160.65,Denmark
,,Biomass,261.2,0.46,30.71,56.51,80.53,0.43,0.15,0.07,126.32,0,20.77,-72.67,105.57,131.09,155.02,
,,Biomass,258.2,0.57,26.71,49.14,70.02,0.37,0.13,0.06,76.87,0,19.36,-50.25,73.05,95.25,116.06,
,,Biomass,357.6,0.57,22.97,42.26,60.22,0.32,0.11,0.05,95.07,0,14.28,-39.01,93.63,112.71,130.61,
,,Coal (Ultra-supercritical),700,0.57,20.27,37.31,53.16,0.28,0.1,0.04,21.28,20.22,10.73,-29.69,43.1,59.95,75.74,
,,Gas (CCGT),500,0.57,10.77,17.69,23.97,0.21,0.1,0.05,47.47,10.54,11.96,-14.82,66.11,72.92,79.16,
,,Gas (OCGT),125,0.46,8.86,14.26,19.05,0.17,0.08,0.05,67.65,15.02,10.77,-38.05,64.41,69.73,74.48,
,Italy,Biomass,0.415,0.89,38.16,70.22,100.07,0.54,0.19,0.08,154.81,0,59,-114.62,137.89,169.61,199.35,Italy
,Romania,Pulverised (Lignite)*,2900,0.5,10.48,19.29,27.49,2.18,2.34,2.33,12.28,33.5,129.88,-1.63,186.68,195.65,203.85,Romania
,,Gas (OCGT)*,195,0.9,2.17,3.49,4.66,0.17,0.16,0.16,33.88,7.52,11.75,-4.34,51.15,52.47,53.63,
,Slovak Republic,Gas (CCGT)*,5.8,0.7,9.95,16.34,22.15,3.14,3.46,3.59,84.46,18.75,7.74,-68.78,55.25,61.97,67.9,Slovak Republic
,,Gas (OCGT),35.9,0.98,6.68,10.76,14.37,0.13,0.06,0.03,57.46,12.75,6.1,-26.13,57,61.01,64.59,
,* The O&M costs for these plants include costs for refurbishment at regular intervals. Minor adjustments have been made to LCOE figures to compensate for the differentiated impact of these costs at 3% and 10% discount rates. ,,,,,,,,,,,,,,,,,
