Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Back to the table of content,,,,,,,
,Table 3.2.a:  Combined-cycle gas turbine (CCGT) generating technology,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,0.03,0.07,0.1
,Australia,CCGT,506,0.4752,954.8629271106356,998.4431556067598,1058.4714170312654,1104.9537843734245
,,CCGT (CCUS),437,0.4099,2826.48392273829,2955.485491127052,3133.1747814000605,3270.766953274386
,Belgium,CCGT,500,0.595,767.2459176615289,802.2632499456356,850.4968101924821,887.8460522396424
,,CCGT,500,0.64,1009.2234763086265,1055.2847364669515,1118.7304195608804,1167.8590379459913
,,CCGT,500,0.58,973.8121262627097,1018.257201854076,1079.4767206289196,1126.881527842623
,Canada,CCGT,471,0.569,1058.0703913934346,1106.3610393102397,1172.8775248253746,1224.383992623253
,Italy,CCGT,790,0.6,590.1891674319453,617.1255768812581,654.2283155326785,682.9585017228019
,Japan,CCGT,1372,0.5589492248842359,1108.906487756857,1159.5173102583772,1229.2296497496832,1283.210799555121
,Korea,CCGT,491,0.561,1107.3714912669261,1157.9122560712915,1227.5280967165675,1281.4345234715145
,,CCGT,982,0.586,838.4023551699935,876.6672884631504,929.374158031702,970.1872686333115
,Mexico,CCGT,503,0.505,669.3914554613089,699.9426809347185,742.0245380713776,774.6102617863061
,,CCGT,785,0.597,667.325855119726,697.7828059780973,739.7348074110918,772.2199784800505
,,CCGT,835,0.578,466.32359231206647,487.60674000698026,516.9225650463159,539.623021732549
,Romania,CCGT,750,0.58,253.7029853483989,265.2820651908725,281.23131685441166,293.58148254411003
,United States,CCGT,726.548,0.5941015286477429,951.9565273578374,995.4041069032779,1055.2496550616052,1101.590539959408
,,CCGT (CCUS),645.7379999999999,0.476592727147601,2412,2522.0843986589,2673.7168083431143,2791.132059104334
,Non-OECD countries,,,,,,,
,Brazil,CCGT,980,0.58,957.9002825805834,1001.6191368853405,1061.8383442173817,1108.4685688788422
,China,CCGT,475,0.58,560,585.5585668528126,620.763438089612,648.0240269893977
,,,,,,,,
,Table 3.2.b:  Open-cycle gas turbine (OCGT) generating technology,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,0.03,0.07,0.1
,Autralia,OCGT,537,0.3064,667.9557565234024,688.0695701383678,715.1216653508012,735.5858030093285
,Belgium,OCGT,350,0.4,531.1702506887508,547.1651115995628,568.6774169510935,584.9508617474754
,,OCGT,500,0.41,670.4548942026898,690.6439630856703,717.7972729516024,738.3379766057022
,,OCGT,500,0.38,590.1891674319453,607.9612351106251,631.863796612326,649.9454019416393
,Canada,OCGT,100,0.413,1140.6477304737393,1174.9954782504713,1221.1915184930565,1256.137503984363
,,OCGT,243,0.4,517.8448086250874,533.4384072436172,554.411034444412,570.276228128219
,Italy,OCGT,130,0.369,324.6040420875699,334.3786793108439,347.5250881367793,357.4699710679016
,Non-OECD countries,,,,,,,
,Brazil,OCGT,980,0.44,738.9516465621643,761.2033234797843,791.1307402359923,813.7699765485157
