Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Back to the table of content,,,,,,
,Table 3.4.a:  Nuclear generating technologies  - New Build,,,,,,
,Country,Technology,Net capacity (MWe),Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,0.03,0.07,0.1
,France,EPR,1650,4013.286338537228,4458.502998709039,5132.298942692602,5704.731095021991
,Japan,ALWR,1152,3962.81658903839,4402.4343530896285,5067.756864171173,5632.990300810698
,Korea,ALWR,1377,2157.0626705101736,2396.3578906702833,2758.5099913942636,3066.1810427550217
,Russian Federation,VVER,1122.3600000000001,2270.8460665183693,2522.763925404088,2904.019270764966,3227.9197333319175
,Slovak Republic ,Other nuclear,1004,6920.033074421574,7687.711668417781,8849.525161017173,9836.55900132509
,United States,LWR,1100,4250,4721.476651830394,5435.014765079968,6041.210396834124
,Non-OECD countries,,,,,,
,China,LWR,950,2500,2777.339206959056,3197.06750887057,3553.653174608309
,India,LWR,950,2777.865499846194,3086.0299057526995,3552.409413428308,3948.6282208653297
,,,,,,,
,Table 3.4.b:  Nuclear generating technologies  - Long Term Operation (LTO),,,,,,
,Country,Technology,Net capacity (MWe),Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,0.03,0.07,0.1
,Switzerland,LTO,1000,550,566.5618716212732,588.8367786364911,605.6871098182627
,France,LTO,1000,629,647.940758635965,673.415152295187,692.6858037739767
,Sweden,LTO,1000,444,457.36994727244587,475.3518722083673,488.9546850169247
,United States,LTO,1000,391,402.77398509803237,418.6094189943055,430.58847261625584
