Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Back to the table of content,,,,,,,
,Table 3.8: Combined heat and power (CHP) technologies,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity
 factor (%)",Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,0.03,0.07,0.1
,Denmark,Biomass,176.9,0.45662100456621,4013.286338537228,4260.020852094257,4607.967835002846,4883.689750189477
,,Biomass,261.2,0.45662100456621,2714.870170186948,2881.7788117108207,3117.1547119136894,3303.6724780693517
,,Biomass,258.2,0.5707762557077626,2950.9458371597266,3132.368273598719,3388.2116433844453,3590.948345727557
,,Biomass,357.6,0.5707762557077626,2537.8134199573647,2693.836715294898,2913.8620133106233,3088.2155773256986
,,Coal (Ultra-supercritical),700,0.5707762557077626,2240.386110678899,2378.123747759577,2572.3624643633757,2726.2820945831977
,,Gas (CCGT),500,0.5707762557077626,1023.978205494425,1070.7128758889828,1135.0861274491972,1184.9330004890612
,,Gas (OCGT),125,0.45662100456621,684.0292450536245,704.6270714932145,732.3301402736859,753.2867208503599
,Italy,Biomass,0.415,0.8858862002065363,6545.460789738866,6947.8719181089045,7515.355307386882,7965.043376587443
,Romania,Pulverised (Lignite),2900,0.5,1014.8119413935956,1077.201990243904,1165.1849357509043,1234.9048282361462
,,Gas (OCGT),195,0.9,329.81388095291857,339.7453994170205,353.10280583621045,363.2073024223959
,Slovak Republic,Gas (CCGT),5.8,0.7,1160.3119031712044,1213.2688841485538,1286.2128683372462,1342.6964143870287
,,Gas (OCGT),35.9,0.98,1107.4090144706513,1140.7558616159306,1185.6057394798356,1219.533391566217
